Název souboru,Odkaz,Název,Kategorie
VY_32_INOVACE_29-01.pdf,https://drive.google.com/file/d/1wUSVBuVAz5wNibaYb4PQv2kEZUuCjoLJ/view?usp=drivesdk,Základní části výpočetní techniky,VYT
VY_32_INOVACE_36-19.pdf,https://drive.google.com/file/d/18B13kARW_6wD6EbqY3l04M05d6DOwDjE/view?usp=drivesdk,Začlenění skriptů do webové stránky,VYT
VY_32_INOVACE_36-18.pdf,https://drive.google.com/file/d/1uTj1QIhaVsAHW-ISfhq6wYWXgGs674as/view?usp=drivesdk,Úvod do skriptovacích jazyků,VYT
VY_32_INOVACE_28-20.pdf,https://drive.google.com/file/d/1GDxmJU_pben9RY3_z4d5u9_9bdPJUXTT/view?usp=drivesdk,Ochrana autorských práv,VYT
VY_32_INOVACE_36-17.pdf,https://drive.google.com/file/d/15kalv1F3pyFq-fLg7bmddp-bH1Ez5Cko/view?usp=drivesdk,Použití a aplikace filtrů,VYT
VY_32_INOVACE_36-16.pdf,https://drive.google.com/file/d/1xSQmWNFwrU9zy8n3DYmfoxkCNqOdiQZz/view?usp=drivesdk,Využití pozicování při definování vzhledu stránky,VYT
VY_32_INOVACE_28-18.pdf,https://drive.google.com/file/d/1-xaolI6m-rb38IiIb3AH_XMTgP_DTNER/view?usp=drivesdk,Počítačové viry,VYT
VY_32_INOVACE_36-15.pdf,https://drive.google.com/file/d/1ggdqZGSZ3kv0EvC0uC_TuYjLNAEIk8BC/view?usp=drivesdk,"Selektory, třídy, identifikátory",VYT
VY_32_INOVACE_36-14.pdf,https://drive.google.com/file/d/1HcC50KcU0vXttmYmlR8oUaP6DuVQZ-k-/view?usp=drivesdk,Relativní pozice prvku,VYT
VY_32_INOVACE_28-16.pdf,https://drive.google.com/file/d/1XFRSn2ii1RQBr3Nju47BHKH5TMXvvOn0/view?usp=drivesdk,Základní nastavení operačního systému,VYT
VY_32_INOVACE_36-13.pdf,https://drive.google.com/file/d/1_5tT4p4mk4GS-5gAdA96VPMMVgDJePAW/view?usp=drivesdk,Absolutní pozice prvku,VYT
VY_32_INOVACE_21-01.pdf,https://drive.google.com/file/d/1fSIn1uijwpmhsjyNkfUwrp_c_X1xDgY7/view?usp=drivesdk,"Charakteristika,základní pojmy svařování","STT, KOM"
VY_32_INOVACE_28-15.pdf,https://drive.google.com/file/d/1qH5YMG_BLKWlQBoV5g1DfkfqrepmADxI/view?usp=drivesdk,Externí správce souborů,VYT
VY_32_INOVACE_36-12.pdf,https://drive.google.com/file/d/14WxK49liYDSimrLK1nV1yhR3GbIVW5Ik/view?usp=drivesdk,Vlastnosti CSS pro pozicování,VYT
VY_32_INOVACE_36-11.pdf,https://drive.google.com/file/d/1qCHWhYHyH84dDXvwyGO5LE1-VFAerVxU/view?usp=drivesdk,Vlastnosti CSS pro tabulky,VYT
VY_32_INOVACE_28-14.pdf,https://drive.google.com/file/d/1hwmk5rp-okWCMSixzWajQv-eoz9SClCz/view?usp=drivesdk,Komprimace dat,VYT
VY_32_INOVACE_28-13.pdf,https://drive.google.com/file/d/1cwaETd9DYRxzYJWbxqnglsTppf8Ng4bw/view?usp=drivesdk,Práce se soubory (složkami),VYT
VY_32_INOVACE_36-10.pdf,https://drive.google.com/file/d/1DuLm3A8zsNdc_Y5L2jpQ5lzXJmtW5OBo/view?usp=drivesdk,Vlastnosti CSS pro seznamy,VYT
VY_32_INOVACE_36-09.pdf,https://drive.google.com/file/d/1XBR3rwN64EAEndkybCbBlfa93QH8nd51/view?usp=drivesdk,Vlastnosti CSS pro rámečky,VYT
VY_32_INOVACE_28-12.pdf,https://drive.google.com/file/d/1wV_BWXl9-Vy1SMf3xDDF-kAJkzRUr9Is/view?usp=drivesdk,Organizace dat na disku,VYT
VY_32_INOVACE_20-18.pdf,https://drive.google.com/file/d/1aFHvq6YOVkilVMmT9PLtnHgTQrSG4A8R/view?usp=drivesdk,Zvláštní způsoby tváření za studena,"STT, KOM"
VY_32_INOVACE_28-11.pdf,https://drive.google.com/file/d/1NoGUtke7o2huv5L9OEl4yyHI4aKA_B1q/view?usp=drivesdk,Prostředí operačního systému,VYT
VY_32_INOVACE_36-08.pdf,https://drive.google.com/file/d/1cq4NQ73p2Q2OQjudFwiqsCs5msU8k5Oj/view?usp=drivesdk,Vlastnosti CSS pro okraje,VYT
VY_32_INOVACE_28-10.pdf,https://drive.google.com/file/d/1mxnnBBGZLVQp9j_2A5ZdDZU7_ZZ9VRwt/view?usp=drivesdk,Operační systémy,VYT
VY_32_INOVACE_36-07.pdf,https://drive.google.com/file/d/1PU_-UQdsXxS-GMWppUeyRg8oV4jBXuzJ/view?usp=drivesdk,Vlastnosti CSS pro velikosti a obtékání,VYT
VY_32_INOVACE_20-17.pdf,https://drive.google.com/file/d/1EHoRzzhlpXIA4GdLbYp8B53_OOpn7YTa/view?usp=drivesdk,Protlačování,"STT, KOM"
VY_32_INOVACE_23-16.pdf,https://drive.google.com/file/d/1S6H4AisynXa_B4jzKCjFGAGxTYg3f4Hn/view?usp=drivesdk,"Nedestruktivní defektoskopie, úvod, kontrola prohlídkou","STT, KOM"
